[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

  [166/1800] Im: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0.727
  [167/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [168/1800] Im: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.636
  [169/1800] Im: d_prime=2.140 hit_rate=0.750 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.909
  [170/1800] Im: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.818
  [171/1800] Im: d_prime=0.791 hit_rate=0.500 false_alarm=0.214 acc_first_half=0.818 acc_second_half=0.545
  [172/1800] Im: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.818
  [173/1800] Im: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.818 acc_second_half=1.000
  [174/1800] Im: d_prime=0.749 hit_rate=0.375 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0.636
  [175/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.727
  [176/1800] Im: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.636
  [177/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.636
  [178/1800] Im: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.727
  [179/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.909
  [180/1800] Im: d_prime=1.742 hit_rate=0.750 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.818
  [181/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [182/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.818
  [183/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [184/1800] Im: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [185/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [186/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.727
  [187/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.818
  [188/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
  [189/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.818
  [190/1800] Im: d_prime=0.000 hit_rate=0.000 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.545
  [191/1800] Im: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.455
  [192/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [193/1800] Im: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.545 acc_second_half=0.727
  [194/1800] Im: d_prime=2.616 hit_rate=0.875 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.909
  [195/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.545
  [196/1800] Im: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [197/1800] Im: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.545 acc_second_half=0.727
  [198/1800] Im: d_prime=0.393 hit_rate=0.250 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0.727
  [199/1800] Im: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.455
  [200/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [201/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [202/1800] Im: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.591 acc_second_half=0
  [203/1800] Im: d_prime=2.616 hit_rate=0.875 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0
  [204/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [205/1800] Im: d_prime=1.110 hit_rate=0.625 false_alarm=0.214 acc_first_half=0.727 acc_second_half=0
  [206/1800] Im: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [207/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [208/1800] Im: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0
  [209/1800] Im: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [210/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [211/1800] Im: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [212/1800] Im: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [213/1800] Im: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [214/1800] Im: d_prime=2.616 hit_rate=0.875 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0
  [215/1800] Im: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [216/1800] Im: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.591 acc_second_half=0
  [217/1800] Im: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0
